Ticker,Fund Name
FNGD,MicroSectors FANG  Index -3X In
FNGO,MicroSectors FANG  Index 2X Lev
KIE,SPDR S&P Insurance ETF
GDXD,MicroSectors Gold Miners -3X In
NUGT,Direxion Daily Gold Miners Inde
KMLM,KraneShares Mount Lucas Managed
BNDW,Vanguard Total World Bond ETF
KSTR,KraneShares SSE STAR Market 50
SPCX,SPAC and New Issue ETF
GDXU,MicroSectors Gold Miners 3X Lev
